Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
"Sales representatives, services, all other",Detailed,"30,375","30,375",31.3,34.2,27.8,21.7,12.3,6.2
"Sales representatives, wholesale and manufacturing",Detailed,"61,615","61,615",30.0,42.6,19.8,22.0,10.5,7.0
"Models, demonstrators, and product promoters",Detailed,"8,325","8,325",42.8,32.0,32.0,16.9,23.8,4.3
Real estate brokers and sales agents,Detailed,"51,840","51,840",38.5,37.9,17.5,21.9,12.3,6.6
Sales engineers,Detailed,-,-,-,-,-,-,-,-
Telemarketers,Detailed,-,-,-,-,-,-,-,-
"Door-to-door sales workers, news and street vendors, and related workers",Detailed,"12,275","12,275",48.5,23.9,33.9,14.9,23.6,10.7
"Sales and related workers, all other",Detailed,"21,840","21,840",40.6,34.6,30.1,24.4,23.3,11.1
First-line supervisors of office and administrative support workers,Detailed,"79,530","79,530",42.6,32.0,20.9,22.0,13.8,6.6
"Switchboard operators, including answering service",Detailed,-,-,-,-,-,-,-,-
Telephone operators,Detailed,-,-,-,-,-,-,-,-
"Communications equipment operators, all other",Detailed,-,-,-,-,-,-,-,-
Bill and account collectors,Detailed,"11,275","11,275",47.6,21.6,20.9,20.6,9.0,4.4
Billing and posting clerks,Detailed,"32,980","32,980",42.1,22.4,24.1,20.9,12.7,6.8
"Bookkeeping, accounting, and auditing clerks",Detailed,"85,035","85,035",47.6,28.7,18.2,19.5,17.1,7.2
Gaming cage workers,Detailed,-,-,-,-,-,-,-,-
Payroll and timekeeping clerks,Detailed,"8,455","8,455",47.5,22.6,20.3,19.5,18.2,11.3
Procurement clerks,Detailed,-,-,-,-,-,-,-,-
Tellers,Detailed,"13,190","13,190",40.8,21.5,26.6,34.8,20.8,9.9
"Financial clerks, all other",Detailed,-,-,-,-,-,-,-,-
Brokerage clerks,Detailed,-,-,-,-,-,-,-,-
Correspondence clerks,Detailed,-,-,-,-,-,-,-,-
"Court, municipal, and license clerks",Detailed,-,-,-,-,-,-,-,-
"Credit authorizers, checkers, and clerks",Detailed,-,-,-,-,-,-,-,-
Customer service representatives,Detailed,"180,605","180,605",35.4,20.8,35.6,21.8,19.2,8.2
"Eligibility interviewers, government programs",Detailed,-,-,-,-,-,-,-,-
File clerks,Detailed,"18,050","18,050",37.6,23.6,33.7,19.1,18.2,8.8
"Hotel, motel, and resort desk clerks",Detailed,"10,995","10,995",28.6,17.5,44.3,24.6,17.7,6.7
"Interviewers, except eligibility and loan",Detailed,"12,015","12,015",44.4,25.1,30.7,20.5,17.3,8.6
"Library assistants, clerical",Detailed,"6,530","6,530",33.2,20.5,36.2,20.3,13.0,6.9
Loan interviewers and clerks,Detailed,-,-,-,-,-,-,-,-
New accounts clerks,Detailed,-,-,-,-,-,-,-,-
Order clerks,Detailed,"9,630","9,630",39.6,23.1,32.4,23.8,24.9,15.7
"Human resources assistants, except payroll and timekeeping",Detailed,-,-,-,-,-,-,-,-
Receptionists and information clerks,Detailed,"80,295","80,295",45.6,18.4,30.6,22.9,22.3,9.4
Reservation and transportation ticket agents and travel clerks,Detailed,"10,235","10,235",48.8,26.8,20.9,29.4,20.5,7.6
"Information and record clerks, all other",Detailed,"6,455","6,455",41.0,16.7,25.9,14.4,16.7,3.2
Cargo and freight agents,Detailed,-,-,-,-,-,-,-,-
Couriers and messengers,Detailed,"18,955","18,955",33.7,38.2,29.9,16.9,14.2,7.0
Dispatchers,Detailed,"19,785","19,785",50.2,24.4,26.4,20.0,19.7,8.3
"Meter readers, utilities",Detailed,-,-,-,-,-,-,-,-
Postal service clerks,Detailed,"7,555","7,555",54.5,35.9,22.7,15.5,19.8,9.3
Postal service mail carriers,Detailed,"20,755","20,755",33.2,42.2,21.9,17.6,13.0,6.8
"Postal service mail sorters, processors, and processing machine operators",Detailed,-,-,-,-,-,-,-,-
"Production, planning, and expediting clerks",Detailed,"19,345","19,345",37.8,26.9,22.6,20.2,11.9,3.8
"Shipping, receiving, and traffic clerks",Detailed,"38,535","38,535",27.0,34.1,27.3,23.3,14.2,6.0
Stock clerks and order fillers,Detailed,"141,460","141,460",26.1,23.1,45.4,18.8,25.8,7.9
"Weighers, measurers, checkers, and samplers, recordkeeping",Detailed,-,-,-,-,-,-,-,-
Secretaries and administrative assistants,Detailed,"189,440","189,440",47.0,23.5,21.0,21.0,17.7,8.1
Computer operators,Detailed,"6,875","6,875",40.3,23.6,24.2,21.4,18.1,8.9
Data entry keyers,Detailed,"28,530","28,530",39.9,20.7,29.8,16.4,24.8,9.0
Word processors and typists,Detailed,"17,815","17,815",41.6,21.3,27.5,22.6,17.0,9.8
Desktop publishers,Detailed,-,-,-,-,-,-,-,-
Insurance claims and policy processing clerks,Detailed,"18,550","18,550",47.8,19.2,27.5,20.6,19.0,8.4
"Mail clerks and mail machine operators, except postal service",Detailed,"6,925","6,925",37.3,22.2,35.2,15.1,25.8,8.9
"Office clerks, general",Detailed,"84,270","84,270",41.2,25.4,27.8,24.1,20.4,9.9
"Office machine operators, except computer",Detailed,-,-,-,-,-,-,-,-
Proofreaders and copy markers,Detailed,-,-,-,-,-,-,-,-
Statistical assistants,Detailed,-,-,-,-,-,-,-,-
"Office and administrative support workers, all other",Detailed,"30,945","30,945",34.8,29.3,30.0,16.7,19.2,5.4
"First-line supervisors of farming, fishing, and forestry workers",Detailed,-,-,-,-,-,-,-,-
Agricultural inspectors,Detailed,-,-,-,-,-,-,-,-
Animal breeders,Detailed,-,-,-,-,-,-,-,-
"Graders and sorters, agricultural products",Detailed,-,-,-,-,-,-,-,-
Miscellaneous agricultural workers,Detailed,"48,340","48,340",30.5,38.6,30.0,25.0,16.0,6.6
Fishing and hunting workers,Detailed,-,-,-,-,-,-,-,-
Forest and conservation workers,Detailed,-,-,-,-,-,-,-,-
Logging workers,Detailed,-,-,-,-,-,-,-,-
First-line supervisors of construction trades and extraction workers,Detailed,"53,800","53,800",33.0,45.4,16.5,19.3,10.9,7.2
Boilermakers,Detailed,-,-,-,-,-,-,-,-
"Brickmasons, blockmasons, and stonemasons",Detailed,"7,460","7,460",32.5,52.5,21.9,27.3,16.3,7.8
Carpenters,Detailed,"77,875","77,875",29.2,45.2,23.3,19.5,10.8,7.8
"Carpet, floor, and tile installers and finishers",Detailed,"9,085","9,085",29.4,35.0,27.5,19.9,12.4,9.5
"Cement masons, concrete finishers, and terrazzo workers",Detailed,-,-,-,-,-,-,-,-
Construction laborers,Detailed,"103,175","103,175",27.9,38.4,29.4,25.3,13.4,5.0
"Paving, surfacing, and tamping equipment operators",Detailed,-,-,-,-,-,-,-,-
"Operating engineers and other construction equipment operators, including pile-driver operators",Detailed,"27,995","27,995",31.3,51.5,19.9,21.3,15.7,9.6
"Drywall installers, ceiling tile installers, and tapers",Detailed,-,-,-,-,-,-,-,-
Electricians,Detailed,"42,210","42,210",29.3,41.4,24.3,21.2,8.5,6.5
Glaziers,Detailed,-,-,-,-,-,-,-,-
Insulation workers,Detailed,-,-,-,-,-,-,-,-
"Painters, construction and maintenance",Detailed,"33,390","33,390",31.3,32.9,27.8,27.9,14.8,7.2
Paperhangers,Detailed,-,-,-,-,-,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters",Detailed,"34,260","34,260",29.6,45.4,23.5,19.5,7.4,5.2
Plasterers and stucco masons,Detailed,-,-,-,-,-,-,-,-
Reinforcing iron and rebar workers,Detailed,-,-,-,-,-,-,-,-
Roofers,Detailed,"9,750","9,750",27.1,29.7,40.5,27.3,11.8,6.7
Sheet metal workers,Detailed,"8,085","8,085",29.0,44.3,38.2,28.3,8.6,6.8
Structural iron and steel workers,Detailed,-,-,-,-,-,-,-,-
"Helpers, construction trades",Detailed,-,-,-,-,-,-,-,-
Construction and building inspectors,Detailed,"6,840","6,840",35.7,56.7,12.6,12.4,3.2,2.9
Elevator installers and repairers,Detailed,-,-,-,-,-,-,-,-
Fence erectors,Detailed,-,-,-,-,-,-,-,-
Hazardous materials removal workers,Detailed,-,-,-,-,-,-,-,-
Highway maintenance workers,Detailed,"7,450","7,450",34.6,48.5,12.0,25.7,14.1,8.7
Rail-track laying and maintenance equipment operators,Detailed,-,-,-,-,-,-,-,-
Septic tank servicers and sewer pipe cleaners,Detailed,-,-,-,-,-,-,-,-
"Miscellaneous construction and related workers, including solar photovoltaic installers",Detailed,-,-,-,-,-,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",Detailed,-,-,-,-,-,-,-,-
"Earth drillers, except oil and gas",Detailed,-,-,-,-,-,-,-,-
"Explosives workers, ordnance handling experts, and blasters",Detailed,-,-,-,-,-,-,-,-
Mining machine operators,Detailed,-,-,-,-,-,-,-,-
"Roof bolters, mining",Detailed,-,-,-,-,-,-,-,-
"Roustabouts, oil and gas",Detailed,-,-,-,-,-,-,-,-
Helpers--extraction workers,Detailed,-,-,-,-,-,-,-,-
Other extraction workers,Detailed,-,-,-,-,-,-,-,-
"First-line supervisors of mechanics, installers, and repairers",Detailed,"18,395","18,395",32.7,48.8,16.7,23.2,9.4,4.2
"Computer, automated teller, and office machine repairers",Detailed,"11,335","11,335",32.0,33.0,29.3,20.8,12.3,5.1
Radio and telecommunications equipment installers and repairers,Detailed,"7,360","7,360",26.4,46.6,19.9,16.6,17.1,6.4
Avionics technicians,Detailed,-,-,-,-,-,-,-,-
"Electric motor, power tool, and related repairers",Detailed,-,-,-,-,-,-,-,-
"Electrical and electronics installers and repairers, transportation equipment",Detailed,-,-,-,-,-,-,-,-
"Electrical and electronics repairers, industrial and utility",Detailed,-,-,-,-,-,-,-,-
"Electronic equipment installers and repairers, motor vehicles",Detailed,-,-,-,-,-,-,-,-
Electronic home entertainment equipment installers and repairers,Detailed,-,-,-,-,-,-,-,-
Security and fire alarm systems installers,Detailed,-,-,-,-,-,-,-,-
Aircraft mechanics and service technicians,Detailed,"14,085","14,085",22.8,51.8,20.8,13.7,10.3,4.0
Automotive body and related repairers,Detailed,"8,100","8,100",17.5,38.8,23.6,24.7,9.4,2.2
Automotive glass installers and repairers,Detailed,-,-,-,-,-,-,-,-
Automotive service technicians and mechanics,Detailed,"49,195","49,195",29.4,40.9,29.6,21.9,10.6,5.8
Bus and truck mechanics and diesel engine specialists,Detailed,"21,270","21,270",26.0,47.4,26.5,18.1,10.1,5.3
Heavy vehicle and mobile equipment service technicians and mechanics,Detailed,"14,430","14,430",22.3,52.4,21.5,18.1,10.2,5.9
Small engine mechanics,Detailed,-,-,-,-,-,-,-,-
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",Detailed,-,-,-,-,-,-,-,-
Control and valve installers and repairers,Detailed,-,-,-,-,-,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers",Detailed,"20,390","20,390",28.9,39.3,25.9,21.6,13.8,9.4
Home appliance repairers,Detailed,-,-,-,-,-,-,-,-
Industrial and refractory machinery mechanics,Detailed,"28,415","28,415",32.4,47.8,22.9,19.8,13.5,3.8
"Maintenance and repair workers, general",Detailed,"42,165","42,165",29.6,44.7,27.6,21.5,12.5,7.8
"Maintenance workers, machinery",Detailed,-,-,-,-,-,-,-,-
Millwrights,Detailed,-,-,-,-,-,-,-,-
Electrical power-line installers and repairers,Detailed,-,-,-,-,-,-,-,-
Telecommunications line installers and repairers,Detailed,"8,420","8,420",19.8,34.7,33.2,18.0,8.6,1.1
Precision instrument and equipment repairers,Detailed,-,-,-,-,-,-,-,-
"Coin, vending, and amusement machine servicers and repairers",Detailed,-,-,-,-,-,-,-,-
Commercial divers,Detailed,-,-,-,-,-,-,-,-
Locksmiths and safe repairers,Detailed,-,-,-,-,-,-,-,-
Manufactured building and mobile home installers,Detailed,-,-,-,-,-,-,-,-
Riggers,Detailed,-,-,-,-,-,-,-,-
Signal and track switch repairers,Detailed,-,-,-,-,-,-,-,-
"Helpers--installation, maintenance, and repair workers",Detailed,-,-,-,-,-,-,-,-
"Other installation, maintenance, and repair workers, including wind turbine service technicians",Detailed,"18,600","18,600",40.1,39.4,23.0,17.8,14.7,9.3
First-line supervisors of production and operating workers,Detailed,"51,810","51,810",30.2,46.5,15.8,25.2,9.0,6.8
"Aircraft structure, surfaces, rigging, and systems assemblers",Detailed,-,-,-,-,-,-,-,-
"Electrical, electronics, and electromechanical assemblers",Detailed,"7,825","7,825",48.0,43.5,19.9,17.5,16.9,12.6
Engine and other machine assemblers,Detailed,-,-,-,-,-,-,-,-
Structural metal fabricators and fitters,Detailed,-,-,-,-,-,-,-,-
Miscellaneous assemblers and fabricators,Detailed,"87,455","87,455",28.1,27.3,43.1,20.6,30.2,11.4
Bakers,Detailed,"18,250","18,250",32.1,24.3,33.7,21.8,25.0,10.5
"Butchers and other meat, poultry, and fish processing workers",Detailed,"18,005","18,005",30.0,34.9,25.3,25.4,7.7,7.8
"Food and tobacco roasting, baking, and drying machine operators and tenders",Detailed,-,-,-,-,-,-,-,-
Food batchmakers,Detailed,-,-,-,-,-,-,-,-
Food cooking machine operators and tenders,Detailed,-,-,-,-,-,-,-,-
"Food processing workers, all other",Detailed,"8,155","8,155",33.1,27.4,28.1,30.4,12.5,5.8
Computer control programmers and operators,Detailed,"6,900","6,900",26.3,37.6,28.1,26.7,8.4,4.4
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Detailed,"7,620","7,620",38.7,32.8,26.2,12.4,5.6,9.3
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
Machinists,Detailed,"24,080","24,080",28.6,50.7,17.1,12.1,7.7,5.4
"Metal furnace operators, tenders, pourers, and casters",Detailed,-,-,-,-,-,-,-,-
"Model makers and patternmakers, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Multiple machine tool setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
Tool and die makers,Detailed,-,-,-,-,-,-,-,-
"Welding, soldering, and brazing workers",Detailed,"38,555","38,555",25.5,49.1,29.8,19.9,12.6,6.4
"Heat treating equipment setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Layout workers, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Tool grinders, filers, and sharpeners",Detailed,-,-,-,-,-,-,-,-
"Metal workers and plastic workers, all other",Detailed,"25,945","25,945",36.7,35.3,27.8,22.1,11.0,4.6
Prepress technicians and workers,Detailed,-,-,-,-,-,-,-,-
"Printing workers, except prepress technicians and workers",Detailed,"12,955","12,955",32.8,33.4,30.1,19.0,11.6,7.9
Laundry and dry-cleaning workers,Detailed,"17,435","17,435",30.3,19.7,45.8,22.5,35.7,9.4
"Pressers, textile, garment, and related materials",Detailed,-,-,-,-,-,-,-,-
Sewing machine operators,Detailed,"14,840","14,840",38.2,36.0,25.7,27.6,14.9,4.9
Shoe and leather workers and repairers,Detailed,-,-,-,-,-,-,-,-
Shoe machine operators and tenders,Detailed,-,-,-,-,-,-,-,-
"Tailors, dressmakers, and sewers",Detailed,-,-,-,-,-,-,-,-
Textile bleaching and dyeing machine operators and tenders,Detailed,-,-,-,-,-,-,-,-
"Textile cutting machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
Fabric and apparel patternmakers,Detailed,-,-,-,-,-,-,-,-
Upholsterers,Detailed,-,-,-,-,-,-,-,-
"Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Detailed,-,-,-,-,-,-,-,-
Cabinetmakers and bench carpenters,Detailed,-,-,-,-,-,-,-,-
Furniture finishers,Detailed,-,-,-,-,-,-,-,-
"Sawing machine setters, operators, and tenders, wood",Detailed,-,-,-,-,-,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing",Detailed,-,-,-,-,-,-,-,-
"Miscellaneous woodworkers, including model makers and patternmakers",Detailed,-,-,-,-,-,-,-,-
"Power plant operators, distributors, and dispatchers",Detailed,-,-,-,-,-,-,-,-
Stationary engineers and boiler operators,Detailed,"6,970","6,970",31.8,45.4,11.8,26.1,5.7,5.8
Water and wastewater treatment plant and system operators,Detailed,"6,015","6,015",24.4,60.9,26.5,15.2,16.2,8.4
Miscellaneous plant and system operators,Detailed,-,-,-,-,-,-,-,-
"Chemical processing machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
"Crushing, grinding, polishing, mixing, and blending workers",Detailed,-,-,-,-,-,-,-,-
Cutting workers,Detailed,"9,950","9,950",39.3,14.8,56.7,21.2,56.5,31.3
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",Detailed,-,-,-,-,-,-,-,-
"Inspectors, testers, sorters, samplers, and weighers",Detailed,"63,360","63,360",36.4,30.9,31.1,19.9,16.4,8.3
Jewelers and precious stone and metal workers,Detailed,-,-,-,-,-,-,-,-
"Medical, dental, and ophthalmic laboratory technicians",Detailed,-,-,-,-,-,-,-,-
Packaging and filling machine operators and tenders,Detailed,"19,120","19,120",32.6,32.8,37.4,22.8,23.3,9.9
Painting workers,Detailed,"8,005","8,005",28.5,27.3,33.9,22.5,15.2,8.9
Photographic process workers and processing machine operators,Detailed,-,-,-,-,-,-,-,-
Semiconductor processors,Detailed,-,-,-,-,-,-,-,-
Adhesive bonding machine operators and tenders,Detailed,-,-,-,-,-,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders",Detailed,-,-,-,-,-,-,-,-
Cooling and freezing equipment operators and tenders,Detailed,-,-,-,-,-,-,-,-
Etchers and engravers,Detailed,-,-,-,-,-,-,-,-
"Molders, shapers, and casters, except metal and plastic",Detailed,-,-,-,-,-,-,-,-
"Paper goods machine setters, operators, and tenders",Detailed,-,-,-,-,-,-,-,-
Tire builders,Detailed,-,-,-,-,-,-,-,-
Helpers--production workers,Detailed,-,-,-,-,-,-,-,-
"Production workers, all other",Detailed,"99,340","99,340",33.0,27.3,42.6,23.3,30.5,13.6
Supervisors of transportation and material moving workers,Detailed,"13,195","13,195",37.0,29.1,29.8,24.3,14.9,9.8
Aircraft pilots and flight engineers,Detailed,-,-,-,-,-,-,-,-
Air traffic controllers and airfield operations specialists,Detailed,-,-,-,-,-,-,-,-
Flight attendants,Detailed,-,-,-,-,-,-,-,-
"Ambulance drivers and attendants, except emergency medical technicians",Detailed,-,-,-,-,-,-,-,-
Bus drivers,Detailed,"53,870","53,870",50.1,35.2,20.3,16.2,12.2,9.7
Driver/sales workers and truck drivers,Detailed,"250,240","250,240",38.3,40.0,24.7,16.0,12.4,8.2
Taxi drivers and chauffeurs,Detailed,"52,935","52,935",46.5,34.3,25.5,17.4,10.3,8.5
"Motor vehicle operators, all other",Detailed,"7,290","7,290",32.1,57.7,25.8,12.9,15.2,5.4
Locomotive engineers and operators,Detailed,-,-,-,-,-,-,-,-
"Railroad brake, signal, and switch operators",Detailed,-,-,-,-,-,-,-,-
Railroad conductors and yardmasters,Detailed,-,-,-,-,-,-,-,-
"Subway, streetcar, and other rail transportation workers",Detailed,-,-,-,-,-,-,-,-
Sailors and marine oilers,Detailed,-,-,-,-,-,-,-,-
Ship and boat captains and operators,Detailed,-,-,-,-,-,-,-,-
Ship engineers,Detailed,-,-,-,-,-,-,-,-
Bridge and lock tenders,Detailed,-,-,-,-,-,-,-,-
Parking lot attendants,Detailed,-,-,-,-,-,-,-,-
Automotive and watercraft service attendants,Detailed,"8,560","8,560",32.3,19.5,41.7,22.3,19.5,10.7
Transportation inspectors,Detailed,-,-,-,-,-,-,-,-
"Transportation attendants, except flight attendants",Detailed,-,-,-,-,-,-,-,-
Other transportation workers,Detailed,-,-,-,-,-,-,-,-
Conveyor operators and tenders,Detailed,-,-,-,-,-,-,-,-
Crane and tower operators,Detailed,-,-,-,-,-,-,-,-
"Dredge, excavating, and loading machine operators",Detailed,-,-,-,-,-,-,-,-
Hoist and winch operators,Detailed,-,-,-,-,-,-,-,-
Industrial truck and tractor operators,Detailed,"37,390","37,390",35.9,29.2,28.3,24.7,14.2,5.2
Cleaners of vehicles and equipment,Detailed,"27,650","27,650",28.9,30.0,42.3,22.4,21.6,7.9
"Laborers and freight, stock, and material movers, hand",Detailed,"203,460","203,460",22.8,25.4,47.6,22.1,25.9,7.6
Machine feeders and offbearers,Detailed,-,-,-,-,-,-,-,-
"Packers and packagers, hand",Detailed,"48,085","48,085",28.1,19.6,51.6,21.2,37.7,11.0
Pumping station operators,Detailed,-,-,-,-,-,-,-,-
Refuse and recyclable material collectors,Detailed,"11,780","11,780",24.8,25.2,56.0,19.3,44.8,15.3
Mine shuttle car operators,Detailed,-,-,-,-,-,-,-,-
"Tank car, truck, and ship loaders",Detailed,-,-,-,-,-,-,-,-
"Material moving workers, all other",Detailed,-,-,-,-,-,-,-,-