Name,Party/State,,Dates of Service,Ethnicity
Patsy Mink,Democrat,HI,1965Ð1977; 1990Ð2002,Asian-Pacific American
Shirley Chisholm,Democrat,NY,1969Ð1983,African American
Yvonne Burke,Democrat,CA,1973Ð1979,African American
Barbara Jordan,Democrat,TX,1973Ð1979,African American
Cardiss Collins,Democrat,IL,1973Ð1997,African American
Katie Hall,Democrat,IN,1982Ð1985,African American
Patricia Saiki,Republican,HI,1987Ð1991,Asian-Pacific American
Ileana Ros-Lehtinen,Republican,FL,1989Ðpresent,Hispanic American
Barbara-Rose Collins,Democrat,MI,1991Ð1997,African American
Eleanor Holmes Norton,Democrat,DC,1991Ðpresent,African American
Maxine Waters,Democrat,CA,1991Ðpresent,African American
Carol Moseley Braun,Democrat,IL,1993Ð1999,African American
Corrine Brown,Democrat,FL,1993Ð2017,African American
Eva Clayton,Democrat,NC,1993Ð2003,African American
Eddie Bernice Johnson,Democrat,TX,1993Ðpresent,African American
Cynthia McKinney,Democrat,GA,1993Ð2003; 2005Ð 2007,African American
Carrie Meek,Democrat,FL,1993Ð2003,African American
Lucille Roybal-Allard,Democrat,CA,1993Ðpresent,Hispanic American
Nydia Vel‡zquez,Democrat,NY,1993Ðpresent,Hispanic American
Sheila Jackson Lee,Democrat,TX,1995Ðpresent,African American
Juanita Millender-McDonald,Democrat,CA,1995Ð2007,African American
Julia Carson,Democrat,IN,1997Ð2007,African American
Donna M. Christensen,Democrat,VI,1997Ð2015,African American
Carolyn Cheeks Kilpatrick,Democrat,MI,1997Ð2011,African American
Barbara Lee,Democrat,CA,1997Ðpresent,African American
Loretta Sanchez,Democrat,CA,1997Ð2017,Hispanic American
Stephanie Tubbs Jones,Democrat,OH,1999Ð2008,African American
Grace Napolitano,Democrat,CA,1999Ðpresent,Hispanic American
Hilda Solis,Democrat,CA,2001Ð2009,Hispanic American
Diane Watson,Democrat,CA,2001Ð2011,African American
Denise Majette,Democrat,GA,2003Ð2005,African American
Linda S‡nchez,Democrat,CA,2003Ðpresent,Hispanic American
Gwendolynne Moore,Democrat,WI,2005Ðpresent,African American
Doris Matsui,Democrat,CA,2005Ðpresent,Asian-Pacific American
Yvette Clarke,Democrat,NY,2007Ðpresent,African American
Mazie K. Hirono,Democrat,HI,2007Ðpresent,Asian-Pacific American
Laura Richardson,Democrat,CA,2007Ð2013,African American
Donna F. Edwards,Democrat,MD,2008Ð2017,African American
Marcia L. Fudge,Democrat,OH,2008Ðpresent,African American
Judy Chu,Democrat,CA,2009Ðpresent,Asian-Pacific American
Karen Bass,Democrat,CA,2011Ðpresent,African American
Colleen Hanabusa,Democrat,HI,2011Ð2015; 2016Ðpresent,Asian-Pacific American
Jaime Herrera Beutler,Republican,WA,2011Ðpresent,Hispanic American
Terri Sewell,Democrat,AL,2011Ðpresent,African American
Frederica Wilson,Democrat,FL,2011Ðpresent,African American
Joyce Beatty,Democrat,OH,2013Ðpresent,African American
Tammy Duckworth,Democrat,IL,2013Ðpresent,Asian-Pacific American
Tulsi Gabbard,Democrat,HI,2013Ðpresent,Asian-Pacific American
Michele Lujan Grisham,Democrat,NM,2013Ðpresent,Hispanic American
Gloria McLeod,Democrat,CA,2013Ð2015,Hispanic American
Robin Kelly,Democrat,IL,2013Ðpresent,African American
Grace Meng,Democrat,NY,2013Ðpresent,Asian-Pacific American
Alma Adams,Democrat,NC,2014-present,African American
Brenda Lawrence,Democrat,MI,2015-present,African American
Ludmya (Mia) Love,Republican,UT,2015-present,African American
Stacey Plaskett,Democrat,VI,2015-present,African American
Amata Radewagen,Republican,AS,2015-present,Asian-Pacific American
Norma Torres,Democrat,CA,2015-present,Hispanic American
Bonnie Watson Coleman,Democrat,NJ,2015-present,African American
Val Demings,Democrat,FL,2017-present,African American
Lisa Blunt Rochester,Democrat,DE,2017-present,African American
Nanette Barrag‡n,Democrat,CA,2017-present,Hispanic American
Jenniffer Gonz‡lez,No Party Preference,PR,2017-present,Hispanic American
Stephanie Murphy,Democrat,FL,2017-present,Asian-Pacific American
Pramila Jayapal,Democrat,WA,2017-present,Asian-Pacific American
Catherine Cortez Masto,Democrat,NV,2017-present,Hispanic American
Kamala Harris,Democrat,CA,2017-present,"African American, Asian-Pacific American"