Name, Gender
L.J. Strom,Null
D.C. Fontana,Female
Margaret Arman,Female
Jean Lisette Aroeste,Female
Joyce Muskat,Female
Judy Burns,Female
Shari Lewis,Female
Katharyn Powers,Female
Diane Duane,Female
Hannah Louise Shearer,Female
Deborah Dean Davis,Female
Mona Clee,Female
Deborah McIntyre,Female
Jacqueline Zambrano,Female
Wanda M. Height,Female
Melinda M. Snodgrass,Female
Beth Woods,Female
Robin Burger,Female
Lisa Putman White,Female
Sally Caves,Female
Shari Goodhartz,Female
Susan Sackett,Female
Jeri Taylor,Female
Jo Perry,Female
Vanessa Greene,Female
Hilary J. Bader,Female
Sara Charno,Female
Kacey Arnold-Ince,Female
Pamela Douglas,Female
Randee Russell,Female
Jean Louise Matthias,Female
Edithe Swensen,Female
Allison Hock,Female
Diana Dru Botsford,Female
Jeanne Carrigan Fauci,Female
Lisa Rich,Female
Jill Sherman Donner,Female
Nell McCue Crawford,Female
Kelley Miles,Female
Cindy Marcus,Female
Lisa Klink,Female
Toni Marberry,Female
Barbara J. Lee,Female
Jenifer A. Lee,Female
Jane Espenson,Female
Lynn Barker,Female
Majel Barrett Roddenberry,Female
Pam Wigginton,Female
Robbin Slocum,Female
Truly Barr Clark,Female
Pam Pietroforte,Female
Gabrielle G. Stanton,Female
Skye Dent,Female
Karen Klein,Female
Steve J. Kay,Female
Geo Cameron,Female
Sherry Klein,Female
Eileen Connors,Female
Juliann deLayne,Female
Jessica Scott,Female
Dianna Gitto,Female
Phyllis Strong,Female
Janet Nemecek,Female
Antoinette Stella,Female
Maria Jacquemetton,Female
Judith Reeves-Stevens,Female
Garfield Reeves-Stevens,Female








Gene Roddenberry,Male
Samuel A. Peeples,Male
Stephen Kandel,Male
Richard Matheson,Male
George Clayton Johnson,Male
John D.F. Black,Male
Paul Schneider,Male
Robert Bloch,Male
S. Bar-David,Male
Adrian Spies,Male
Barry Trivers,Male
Oliver Crawford,Male
Don M. Mankiewicz,Male
Steven W. Carabatsos,Male
Theodore Sturgeon,Male
Don Ingalls,Male
Boris Sobelman,Male
Fredric Brown,Male
Robert Hamner,Male
Gene L. Coon,Male
Carey Wilbur,Male
Harlan Ellison,Male
Gilbert Ralston,Male
Norman Spinrad,Male
John Meredyth Lucas,Male
Max Ehrlich,Male
Jerome Bixby,Male
David P. Harmon,Male
David Gerrold,Male
Art Wallace,Male
Robert Sabaroff,Male
John Kingsbridge,Male
Laurence N. Wolfe,Male
Edward J. Lasko,Male
Chet Richards,Male
Rik Vollaerts,Male
Meyer Dolinsky,Male
Arthur Heinemann,Male
Lee Erwin,Male
Stanley Adams,Male
George F. Slavin,Male
Jeremy Tarcher,Male
Michael Baron,Male
Herbert Wright,Male
Richard Krzemien,Male
Michael Reaves,Male
Michael Halperin,Male
Worley Thorne,Male
John D.F. Black,Male
Maurice Hurley,Male
Larry Forrester,Male
Lan O'Kun,Male
Tracy Torme,Male
Robert Lewin,Male
Patrick Barry,Male
Michael Michaelian,Male
Karl Guers,Male
Ralph Sanchez,Male
Sandy Fries,Male
Hans Beimler,Male
Richard Manning,Male
Joseph Stefano,Male
Jaron Summers,Male
Jon Povill,Male
Jack B. Sowards,Male
Brian Alan Lane,Male
Burton Armus,Male
Les Menchen,Male
Lance Dickson,Male
David Landsberg,Male
John Mason,Male
Mike Gray,Male
Gregory Amos,Male
Leonard Mlodinow,Male
Scott Rubenstein,Male
Steve Gerber,Male
Kurt Michael Bensmiller,Male
Robert L. McCullough,Male
David Assael,Male
Thomas H. Calder,Male
David Kemper,Male
David Kemper,Male
Michael Piller,Male
Ron Roman,Male
Richard Danus,Male
Sam Rolfe	Male
Ronald D. Moore	Male
Ed Zuckerman	Male
Trent Christopher Ganino	Male
Eric A. Stillwell	Male
Rene Echevarria	Male
Drew Deighan	Male
W. Reed Moran	Male
David Bischoff	Male
Dennis Russell Bailey	Male
Peter S. Beagle	Male
Fred Bronson	Male
Rick Berman,Male
Ralph Phillips	Male
John Whelpley	Male
Lee Sheldon	Male
Joe Menosky,Male
Thomas Perry	Male
Brannon Braga,Male
Alan J. Adler	Male
Harold Apter	Male
Cy Chermak	Male
Stuart Charno	Male
J. Larry Carroll	Male
David Bennett Carren	Male
Bruce D. Arthurs	Male
Marc Scott Zicree	Male
Thomsa Kartozian	Male
Philip LaZebnik	Male
William Douglas Lansford	Male
Timothy DeHaas	Male
Ira Steven Behr	Male
Ted Roberts	Male
Peter Allan Fields	Male
Michael Horvat	Male
Ken Schafer	Male
Lawrence V. Conley	Male
Philip A. Scorza	Male
Ron Jarvis	Male
Grant Rosenberg	Male
T. Michael	Male
James Kahn	Male
Adam Belanoff	Male
Barry Schkolnick	Male
Rene Balcer	Male
Naren Shankar	Male
Gary Perconte	Male
Richard Fliegel	Male
Ronald Wilkerson	Male
Morgan Gendel	Male
Frank Abatemarco	Male
Ward Botsford	Male
Robert Hewitt Wolfe	Male
Michael Medlock	Male
Roger Eschbacher	Male
Jaq Greenspon	Male
Christopher Hatton	Male
Nicholas Sagan	Male
Nicholas Sagan	Male
Dan Koeppel	Male
Spike Steingasser	Male
Mark Kalbfeld	Male
Gerald Sanford	Male
Michael McGreevey	Male
Frederick Rappaport	Male
David Livingston	Male
Evan Carlos Somers	Male
William Crawford	Male
Jim Trombetta	Male
Don Carlos Dunaway	Male
John Wright	Male
James Crocker	Male
Gene Wolande	Male
Mark Gehred-O'Connell	Male
Gabe Essoe	Male
Bill Dial	Male
Paul Coyle	Male
Jeff King	Male
Flip Kobler	Male
Gary Holland	Male
Tom Benko	Male
Chrisopher Teague	Male
Steve Warnek	Male
D. Thomas Maio	Male
Mike Krohn	Male
David S. Cohen	Male
Martin A. Winer	Male
Christian Ford	Male
Roger Soffer	Male
William N. Stape	Male
David R. Long	Male
Robert Lederman	Male
Ethan H. Calk	Male
John Shirley	Male
Gordon Dawson	Male
Michael Taylor	Male
Nicholas Corea	Male
Jack Trevino	Male
Jack Trevino	Male
John Ordover	Male
David Mack	Male
Bob Gillan	Male
David Weddle	Male
Bradley Thompson	Male
Daniel Keys Moran	Male
Louis P. DeSantis	Male
Robert J. Bolivar	Male
George Brozak	Male
Rick Cason	Male
Brice R. Parker	Male
Bryan Fuller	Male
Jimmy Diggs	Male
Edmund Newton	Male
Scott Neal	Male
Philip Kim	Male
Harry Werksman	Male
Tom Szollosi	Male
Michael Perricone	Male
Greg Elliot	Male
David R. George III	Male
Chris Abbott	Male
Jonathan Glassner	Male
Kenneth Biller	Male
James Thornton	Male
Scott Nimerfro	Male
Jack Klein	Male
Arnold Rudnick	Male
Rich Hosek	Male
Larry Brody	Male
Anthony Williams	Male
Kevin J. Ryan	Male
Michael Sussman	Male
Richard Gadas	Male
Mark Gaberman	Male
Andrew Shepard Price	Male
Clayvon C. Harris	Male
Shawn Piller	Male
Shawn Piller	Male
Andre Bormanis	Male
Harry Doc Kloor	Male
Rick Williams	Male
Robert J. Doherty	Male
Scott Miller	Male
Bill Prady	Male
Bill Vallely	Male
Mike Wollaeger	Male
David Zabel	Male
Raf Green	Male
Gannon Kenney	Male
Paul Brown	Male
Robert Picardo	Male
John Bruno	Male
Carleton Eastlake	Male
Mark Haskell Smith	Male
Eric Morris	Male
Larry Nemecek	Male
Fred Dekker	Male
Andre Jacquemetton	Male
James Duff	Male
Tim Finch	Male
Stephen Beck	Male
Chris Black	Male
Dan O'Shannon	Male
John Shiban	Male
David Wilcox	Male
David A. Goodman	Male
Taylor Elmore	Male
Daniel McCarthy	Male
Hans Tobeason	Male
Brent V. Friedman	Male
Paul Brown	Male
Terry Matalas	Male
Jonathan Fernandez	Male
Manny Coto	Male
Ken LaZebnik	Male
Michael Bryant	Male